2,54,540.0,USD,1.0
1,26,260.0,USD,1.0
2,11,110.0,USD,1.0
1,81,810.0,USD,1.0
2,66,660.0,USD,1.0
1,27,270.0,USD,1.0
2,5,50.0,USD,1.0
1,51,510.0,USD,1.0
2,93,930.0,USD,1.0
1,46,460.0,USD,1.0
2,50,500.0,USD,1.0
1,23,230.0,USD,1.0
2,32,320.0,USD,1.0
1,22,220.0,USD,1.0
2,21,210.0,USD,1.0
1,67,670.0,USD,1.0
2,7,70.0,USD,1.0
1,40,400.0,USD,1.0
2,18,180.0,USD,1.0
1,73,730.0,USD,1.0
2,66,660.0,USD,1.0
1,94,940.0,USD,1.0
2,52,520.0,USD,1.0
1,44,440.0,USD,1.0
2,81,810.0,USD,1.0
1,68,680.0,USD,1.0
2,87,870.0,USD,1.0
1,81,810.0,USD,1.0
2,41,410.0,USD,1.0
1,50,500.0,USD,1.0
2,89,890.0,USD,1.0
1,31,310.0,USD,1.0
2,50,500.0,USD,1.0
1,80,800.0,USD,1.0
2,15,150.0,USD,1.0
1,40,400.0,USD,1.0
2,30,300.0,USD,1.0
1,51,510.0,USD,1.0
2,54,540.0,USD,1.0
1,91,910.0,USD,1.0
2,60,600.0,USD,1.0
1,94,940.0,USD,1.0
2,22,220.0,USD,1.0
1,61,610.0,USD,1.0
2,56,560.0,USD,1.0
1,19,190.0,USD,1.0
2,6,60.0,USD,1.0
1,82,820.0,USD,1.0
2,4,40.0,USD,1.0
1,31,310.0,USD,1.0
2,48,480.0,USD,1.0
1,72,720.0,USD,1.0
2,66,660.0,USD,1.0
1,65,650.0,USD,1.0
2,67,670.0,USD,1.0
1,92,920.0,USD,1.0
2,96,960.0,USD,1.0
1,96,960.0,USD,1.0
2,23,230.0,USD,1.0
1,2,20.0,USD,1.0
2,1,10.0,USD,1.0
1,28,280.0,USD,1.0
2,53,530.0,USD,1.0
1,51,510.0,USD,1.0
2,83,830.0,USD,1.0
1,4,40.0,USD,1.0
2,11,110.0,USD,1.0
1,5,50.0,USD,1.0
2,52,520.0,USD,1.0
1,67,670.0,USD,1.0
2,52,520.0,USD,1.0
1,12,120.0,USD,1.0
2,73,730.0,USD,1.0
1,66,660.0,USD,1.0
2,89,890.0,USD,1.0
1,5,50.0,USD,1.0
2,8,80.0,USD,1.0
1,53,530.0,USD,1.0
2,49,490.0,USD,1.0
1,50,500.0,USD,1.0
2,84,840.0,USD,1.0
1,21,210.0,USD,1.0
2,49,490.0,USD,1.0
1,28,280.0,USD,1.0
2,46,460.0,USD,1.0
1,94,940.0,USD,1.0
2,99,990.0,USD,1.0
1,97,970.0,USD,1.0
2,68,680.0,USD,1.0
1,6,60.0,USD,1.0
2,8,80.0,USD,1.0
1,79,790.0,USD,1.0
2,49,490.0,USD,1.0
1,25,250.0,USD,1.0
2,99,990.0,USD,1.0
1,41,410.0,USD,1.0
2,77,770.0,USD,1.0
1,11,110.0,USD,1.0
2,80,800.0,USD,1.0
1,11,110.0,USD,1.0
2,93,930.0,USD,1.0
1,88,880.0,USD,1.0
2,28,280.0,USD,1.0
1,98,980.0,USD,1.0
2,22,220.0,USD,1.0
1,99,990.0,USD,1.0
2,27,270.0,USD,1.0
1,4,40.0,USD,1.0
2,89,890.0,USD,1.0
1,20,200.0,USD,1.0
2,79,790.0,USD,1.0
1,54,540.0,USD,1.0
2,22,220.0,USD,1.0
1,62,620.0,USD,1.0
2,68,680.0,USD,1.0
1,72,720.0,USD,1.0
2,82,820.0,USD,1.0
1,1,10.0,USD,1.0
2,5,50.0,USD,1.0
1,25,250.0,USD,1.0
2,52,520.0,USD,1.0
1,51,510.0,USD,1.0
2,55,550.0,USD,1.0
1,50,500.0,USD,1.0
2,22,220.0,USD,1.0
1,56,560.0,USD,1.0
2,41,410.0,USD,1.0
1,79,790.0,USD,1.0
2,40,400.0,USD,1.0
1,6,60.0,USD,1.0
2,12,120.0,USD,1.0
1,19,190.0,USD,1.0
2,75,750.0,USD,1.0
1,7,70.0,USD,1.0
